Time,PercentageEVcharging,Powerperchargingevent,Continousnoofchargingevents,Totalchargingpower,charging_duration_Min,Energychargingevent
0.15,0.384401184,0.111502409,2.003324684,0.223375528,0.17123646,0.000318221
0.26,0.738108486,0.214101511,3.84668677,0.823581449,0.631345666,0.002252868
0.49,1.067935418,0.309773686,5.565595198,1.72407494,1.321650994,0.006823545
0.56,1.385193734,0.401800111,7.2190017,2.900595682,2.223554834,0.01489041
0.72,1.683003772,0.488185216,8.771052591,4.281898201,3.282441432,0.026707323
0.86,1.957727248,0.567873652,10.20278679,5.793893795,4.441515456,0.042036993
0.86,2.216706879,0.642995306,11.5524712,7.428184757,5.694339347,0.061023891
1.02,2.455973628,0.712398888,12.79942102,9.118293298,6.98995219,0.082993903
1.2,2.684193226,0.778598046,13.98879809,10.89165086,8.349382535,0.108346882
1.45,2.901564125,0.841650347,15.12163666,12.72713073,9.75643494,0.136858447
1.63,3.112452263,0.902822207,16.22069002,14.64439916,11.22618528,0.168920823
1.83,3.302304509,0.957892232,17.21011384,16.48543435,12.63749632,0.201755992
2.04,3.469400945,1.006361529,18.08094471,18.19596715,13.9487661,0.23395836
2.13,3.621878096,1.050590242,18.87558649,19.83050697,15.20178076,0.266180709
2.29,3.765226464,1.092170989,19.62265319,21.43129253,16.42891989,0.299053161
2.5,3.90612726,1.133041774,20.35696425,23.06529088,17.68151947,0.333898336
2.76,4.03346718,1.169978985,21.02060218,24.59366281,18.85314736,0.36762977
2.95,4.145394009,1.202445355,21.60391407,25.97752612,19.91399702,0.399091554
3.24,4.247001343,1.231918372,22.13344542,27.26659805,20.90218098,0.429163013
3.5,4.332467929,1.256709477,22.57885852,28.37506548,21.75191613,0.455597319
3.76,4.406159706,1.27808509,22.96290665,29.3485486,22.49817426,0.479243018
4,4.469135085,1.29635222,23.29110577,30.19347667,23.14588393,0.500086967
4.17,4.525627705,1.31273891,23.58551969,30.96162941,23.73473875,0.519291918
4.68,4.572065432,1.326209,23.82753207,31.60028747,24.22432481,0.53544196
5.16,4.617841653,1.339487208,24.06609698,32.23622904,24.71182845,0.551686302
5.18,4.661368753,1.352113018,24.29294049,32.84680108,25.17988418,0.567434153
5.62,4.715810703,1.367904876,24.57666725,33.61854295,25.77149037,0.587549122
5.95,4.788245619,1.388915913,24.95416519,34.65923712,26.56927152,0.6150414
6.09,4.868221704,1.412114401,25.37096428,35.82670402,27.46423481,0.646377358
6.27,4.992650998,1.448207333,26.01943335,37.68153418,28.88612087,0.697218201
6.32,5.138909993,1.490632359,26.78166891,39.92162232,30.60334014,0.760305485
6.49,5.300185175,1.537413098,27.62216204,42.46667372,32.55433986,0.834157808
6.68,5.494601813,1.593807106,28.63537341,45.63926162,34.98640001,0.929359549
6.68,5.701851668,1.653923617,29.71546569,49.1471105,37.67546639,1.038539061
6.91,5.932518839,1.720832738,30.9175984,53.2040155,40.78543127,1.169748423
7,6.170991781,1.790006062,32.16041125,57.56733108,44.1302861,1.316557994
7.05,6.416337771,1.861173035,33.43904331,62.23584574,47.70910213,1.479914907
7.19,6.679617192,1.93754192,34.81113628,67.44803582,51.70469191,1.6696668
7.23,6.96002962,2.018880538,36.27251872,73.22988211,56.13697192,1.888897335
7.28,7.257178151,2.105073762,37.82112214,79.61625185,61.03267089,2.141304568
7.32,7.561801702,2.193435247,39.40868197,86.44039208,66.26395841,2.422428367
7.41,7.891760935,2.289145799,41.12827989,94.14862913,72.17298181,2.753574635
7.61,8.234817989,2.388655607,42.91613771,102.511873,78.58412397,3.128506805
8.18,8.576882784,2.487877592,44.69882433,111.2052034,85.24830579,3.534789162
8.55,8.941438785,2.593623552,46.59872492,120.8595505,92.64918904,4.00495198
8.68,9.314660516,2.701883162,48.54378737,131.1596417,100.5450905,4.527684783
9.1,9.704618351,2.814997377,50.5760708,142.3715066,109.1399445,5.120477623
9.36,10.09728836,2.928898306,52.62248885,154.1259184,118.1507071,5.767523433
9.42,10.46171206,3.03460589,54.52169995,165.4518718,126.8330197,6.41480381
9.64,10.81006116,3.13565075,56.33713753,176.6535876,135.4200935,7.077168632
9.81,11.13724207,3.230555399,58.04225608,187.5087238,143.7414844,7.739413812
9.82,11.49313234,3.333787711,59.89699482,199.6838652,153.0747724,8.505313248
9.95,11.86754479,3.442392707,61.84826271,212.9060085,163.2106768,9.363920724
10.01,12.25770107,3.555564486,63.88158038,227.1350785,174.1184767,10.31815787
10.04,12.6681656,3.674627031,66.02073537,242.6015788,185.9748729,11.38980491
10.13,13.10806714,3.802228308,68.31330277,259.7427736,199.1150657,12.61801565
10.14,13.5656309,3.934952824,70.69791761,278.1929705,213.2587207,13.98605008
10.36,14.04502435,4.074009433,73.19629895,298.2024124,228.5976704,15.52181776
10.68,14.53791253,4.216980428,75.76500868,319.4995587,244.9237557,17.21397807
10.84,15.08861635,4.376721876,78.63502726,344.163644,263.8308879,19.24524031
11.04,15.61391833,4.52909507,81.37266301,368.5445268,282.5209212,21.32606852
11.24,16.16753277,4.689680797,84.25785046,395.1424233,302.9104852,23.67589142
11.32,16.73675875,4.85479493,87.2243982,423.4565661,324.6156989,26.26571082
11.44,17.32033941,5.024072895,90.26575603,453.5017382,347.6478946,29.1101394
11.59,17.9170179,5.197150115,93.37537376,485.2858345,372.0131247,32.22346756
11.65,18.51964994,5.37195427,96.51601872,518.4796389,397.4590166,35.58552769
11.72,19.14411168,5.553090519,99.77043019,554.0342299,424.7146535,39.30798193
11.72,19.78610333,5.73931163,103.1161996,591.8160036,453.6776165,43.39662035
11.87,20.44264812,5.929754137,106.5378133,631.7430395,484.2851066,47.86152691
11.95,21.11936884,6.126049034,110.0645749,674.2609829,516.8787491,52.77374269
11.99,21.80766592,6.325701859,113.6516672,718.9265626,551.1187386,58.10354715
12.52,22.51944646,6.532166481,117.3611447,766.6225355,587.6817838,63.9805875
12.76,23.2474339,6.743332203,121.1550852,816.9889874,626.2919797,70.38824793
12.96,23.9868654,6.957817477,125.0086669,869.7874872,666.7665485,77.32066574
13.13,24.74938346,7.17899942,128.9825653,925.9657614,709.8320036,84.93139236
13.14,25.53439273,7.406705337,133.0736777,985.6375186,755.5755125,93.27208635
13.22,26.32952304,7.637347044,137.2175363,1047.977945,803.3647849,102.2595944
13.26,27.15045208,7.875472133,141.4958463,1114.346595,854.2420346,112.125989
13.4,27.99585686,8.120696843,145.9017127,1184.823578,908.2686737,122.9295758
13.4,28.86573735,8.373021172,150.4351354,1259.596574,965.5885748,134.7482263
13.49,29.77729273,8.637434043,155.1857488,1340.406669,1027.536429,147.9213022
13.54,30.71200083,8.908562771,160.0570236,1425.878041,1093.057551,162.2928634
13.64,31.68243025,9.190053107,165.1144617,1517.410672,1163.225145,178.1683477
13.76,32.68163518,9.479890293,170.3218648,1614.632593,1237.754068,195.5628796
13.99,33.70716806,9.777364367,175.6664772,1717.555155,1316.653021,214.5566054
14.02,34.75684591,10.08184212,181.1369222,1826.193852,1399.93388,235.2318726
14.18,35.76266591,10.37359812,186.3788,1933.41877,1482.130956,256.2505151
14.31,36.7516175,10.66046114,191.5327673,2041.827624,1565.235621,278.1022252
14.59,37.72641286,10.9432179,196.6129588,2151.578449,1649.369021,300.8234099
14.78,38.68473672,11.2211968,201.6073082,2262.275282,1734.227617,324.3351565
15,39.62414151,11.49368789,206.50306,2373.48172,1819.476869,348.5416542
15.01,40.54065818,11.75953987,211.2795294,2484.55005,1904.62025,373.2909628
15.09,41.43375754,12.01859924,215.9339584,2595.223709,1989.461081,398.5089242
15.19,42.32030799,12.27575899,220.5542573,2707.470907,2075.508166,424.6406338
15.27,43.23351714,12.54065157,225.3134894,2825.577963,2166.047332,452.7274144
15.53,44.16657146,12.81130059,230.1761455,2948.855788,2260.550335,482.6764974
15.72,45.12476302,13.08924112,235.1698054,3078.194286,2359.699364,514.7778988
16.01,46.09320793,13.37015581,240.2169012,3211.737396,2462.071586,548.6380119
16.27,47.07336149,13.6544668,245.3250171,3349.782302,2567.894821,584.387243
16.27,48.06046086,13.94079255,250.4693315,3491.740992,2676.718306,621.9262438
16.41,49.01964468,14.2190209,255.4681627,3632.507145,2784.62761,659.9113031
16.45,49.95250056,14.48961236,260.3297846,3772.077664,2891.620358,698.3076347
16.54,50.87206016,14.756347,265.1221123,3912.233886,2999.062097,737.586683
16.59,51.78844453,15.02216061,269.8978922,4054.449484,3108.082524,778.1685808
16.63,52.69517092,15.28517274,274.623339,4197.665176,3217.869608,819.7615471
16.68,53.64145537,15.5596594,279.5549445,4349.77972,3334.478425,864.7224761
16.97,54.59958078,15.83758074,284.5482597,4506.556036,3454.660889,911.8911792
17.22,55.56696727,16.11818842,289.5898395,4667.663596,3578.163622,961.2252575
17.31,56.54434251,16.40169351,294.6834761,4833.308057,3705.144278,1012.844014
17.41,57.5280682,16.68704066,299.8102084,5002.945139,3835.185619,1066.63164
17.59,58.52363485,16.9758225,304.9986504,5177.602952,3969.075781,1122.972099
17.87,59.53044711,17.26786633,310.2456994,5357.281265,4106.814585,1181.932088
18,60.48890327,17.5458836,315.2407383,5531.177302,4240.12078,1239.944428
18.18,61.42116379,17.81630237,320.0992575,5702.98516,4371.826207,1298.16296
18.27,62.35024908,18.0858001,324.9412288,5876.822109,4505.087107,1357.968414
18.41,63.25684316,18.34877386,329.6659861,6048.966629,4637.050614,1418.069885
18.5,64.17765963,18.61587308,334.464864,6226.355457,4773.034332,1480.903355
18.59,65.10674492,18.88537081,339.3068353,6407.935404,4912.230901,1546.155035
18.64,66.05825527,19.16137333,344.2656758,6596.60314,5056.860868,1614.939983
18.68,67.01743909,19.43960168,349.264507,6789.562897,5204.781036,1686.314503
18.86,67.95049341,19.7102507,354.1271631,6979.935166,5350.717673,1757.733113
19.11,68.86932536,19.97677427,358.9156986,7169.977895,5496.401689,1830.006264
